Column,Name of Column,Test question,Data Type,Data Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,84.1,2,4,,,,,FALSE,,1,3,62,3,0,4,0,,1,,14,3,2,TRUE,1,0,FALSE,FALSE,5,,FALSE,1,43,FALSE,TRUE,,48,15/03/2018
,86.8,2,4,,,,,FALSE,,1|2,3,125,3,0,4,1|2|4|5|6,,0,,9,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,11,FALSE,FALSE,,78,08/03/2018
,85.7,2,2,,,,,FALSE,,0,3,103,3,0,4,1|2,,0,,10,1,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,48,FALSE,FALSE,,76,04/04/2018
,75.8,1,4,,,,,FALSE,,2|4|5,1,66,3,1,4,1|2|5,,0,,22,1,2,FALSE,2,4,FALSE,FALSE,0,,FALSE,1,36,FALSE,FALSE,,,
,56.6,1,1,,,,,FALSE,,2|4,2,64,3,0,4,1|2|3|4|5|6,,0,,,5,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,,
,66.9,2,4,,,,,FALSE,,1|2,2,56,3,0,4,1|2|3,,0,,29,3,2,TRUE,2,,FALSE,FALSE,3,,FALSE,1,0,,TRUE,,,
,75.1,2,4,,,,,FALSE,,1|2|4,3,64,3,0,4,1|2|5,,0,,38,1,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,,
,77.8,1,4,,,,,FALSE,,2|4,1,89,3,0,4,1|2|3|5|6,,0,,19,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,39,FALSE,FALSE,,,
,80.6,2,4,,,,,FALSE,,2,2,80,3,0,4,1|3,,0,,5,3,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,7,FALSE,FALSE,,,
,51.3,1,4,,,,,FALSE,,1|2|4,2,90,3,0,4,1|2|5|6,,0,,10,2,1,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,,FALSE,,,
