Column,Name of Column,Test question,Data Type,Data Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,76.8,2,2,,,,2,FALSE,FALSE,2,2,97,3,0,1,9|2|3|4|5|6,,0,2,14,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,51,17/01/2019
,85.8,1,4,,,,1,FALSE,FALSE,0,2,101,2,0,1,1|2|5|6,,0,,9,1,2,FALSE,1,0,FALSE,FALSE,0,,TRUE,1,1,FALSE,FALSE,FALSE,37,03/01/2019
,69.8,1,2,,,,2,FALSE,FALSE,1|2,2,80,3,0,1,2|5|6,,0,1,56,5,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,112,19/03/2019
,73.2,1,4,,,,1,FALSE,FALSE,2,2,91,3,1,1,1|2|4|6,,0,,30,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,FALSE,,
,84.4,1,4,,,,2,FALSE,FALSE,2|4,2,129,3,0,1,2|3|4|5|6,,0,1,12,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,121,26/03/2019
,67.5,1,3,,,,1,FALSE,FALSE,2,3,80,2,0,1,9|2|4|5|6,,0,1,16,7,3,TRUE,2,0,FALSE,FALSE,17,,FALSE,1,6,FALSE,FALSE,FALSE,173,20/05/2019
,80.9,1,2,,,,1,FALSE,FALSE,2,3,86,3,1,1,2|3|5|6,,0,1,143,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,99,04/03/2019
,77.4,2,2,,,,1,FALSE,FALSE,2,1,86,3,0,1,1|4|5|6,,0,,13,4,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,,
,58.3,2,3,,,,,FALSE,,0,1,51,3,0,1,1|2|5|6,,0,,12,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,46,08/01/2019
,71.1,1,3,,,,,FALSE,,2,2,74,3,0,1,1|2|5|6,,0,,75,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,46,08/01/2019
,78.8,1,4,,,,,FALSE,,2,2,72,3,0,1,8|2|5|6,,1,,4,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,7,FALSE,FALSE,,55,17/01/2019
,82.6,1,2,,,,,FALSE,,2,2,117,4,1,1,1|2|4,,0,,35,3,2,FALSE,2,0,FALSE,FALSE,1,,FALSE,1,7,FALSE,FALSE,,47,14/01/2019
,74.8,1,2,,,,,FALSE,,1|2,3,83,3,0,1,1|2|5|6,,0,,12,3,3,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,41,03/01/2019
,73.7,1,4,,,,2,FALSE,FALSE,4,1,61,2,0,1,2|3|4|5|6,,0,1,8,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,FALSE,58,21/01/2019
,80.3,2,2,,,,,FALSE,,1|2|4,2,78,4,1,1,1|2|3|4|5|6,,0,,25,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,,34,28/12/2018
,80.2,1,4,,,,1,FALSE,FALSE,2|4,2,103,2,0,1,2|5|6,,0,1,7,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,,
,81,2,2,,,,,FALSE,,2,1,82,3,0,1,1|2|4|5|6,,0,,30,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,,
,52.9,1,4,,,,1,FALSE,FALSE,2,1,92,3,0,1,1|2|4|5|6,,0,,7,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,11,FALSE,FALSE,FALSE,,
,81.3,1,4,,,,,FALSE,,1|2|6,3,178,3,1,1,1|2,,0,,19,3,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,8,,FALSE,,,
,71.8,2,4,,,,,FALSE,,2|4,2,89,4,0,1,1|2|3|4|5|6,,0,,10,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,44,04/01/2019
,78.1,1,2,,,,3,FALSE,FALSE,4|5,3,105,3,0,1,2|3|4,,0,2,49,7|3,1,FALSE,4,2,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,49,10/01/2019
,81.7,2,2,,,,0,FALSE,FALSE,2|4,2,110,4,1,1,2|5|6,,0,,24,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,,
,72.9,1,2,,,,1,FALSE,FALSE,2,2,72,3,0,1,1|2|4|5,,0,,4,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,112,13/03/2019
,78.7,2,2,,,,2,FALSE,FALSE,2,2,80,3,0,1,2|3|5|6,,0,,13,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,7,FALSE,FALSE,FALSE,,
,68.9,1,5,,,,,FALSE,,2,2,91,3,0,1,1|2|4|5|6,,0,,139,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,62,23/01/2019
,67.4,1,3,,,,,FALSE,,2,1,78,2,0,1,1|2|5,,0,,43,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,,
,53.9,1,2,,,,,FALSE,,2,2,83,2,0,1,1|2|4|5|6,,0,,3,3,2,FALSE,1,,FALSE,FALSE,0,,FALSE,1,2,,FALSE,,,
,62.3,1,5,,,,3,FALSE,FALSE,1|2|4|6,1,160,2,0,1,8|6,,0,,20,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,55,14/01/2019
,52.6,1,2,,,,1,FALSE,FALSE,0,3,117,2,0,1,2|5|6,,0,,26,5,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,33,21/12/2018
,69,1,4,,,,1,FALSE,FALSE,0,2,83,2,0,1,9|2|5|6,,0,,31,4,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,88,13/02/2019
,83.4,1,3,,,,1,FALSE,FALSE,0,3,102,2,1,1,2|5,,0,1,7,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,89,14/02/2019
,75.8,1,2,,,,0,FALSE,FALSE,1|2,3,84,3,0,1,8|2|6,,0,,5,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,59,16/01/2019
,60.3,1,2,,,,1,FALSE,FALSE,5,1,95,3,0,1,2|3|4|5|6,,0,,7,2,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,,
,65.4,1,4,,,,,FALSE,,2,3,80,3,0,1,8|2|5|6,,0,,9,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,11,FALSE,FALSE,FALSE,195,31/05/2019
,73.6,1,4,,,,,FALSE,,1,2,112,2,0,1,1|2|5|6,,0,,8,1,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,63,18/01/2019
,80.7,1,4,,,,3,FALSE,FALSE,2,1,86,2,0,1,2,,1,,2,1,3,FALSE,1,,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,54,09/01/2019
,76.7,1,2,,,,,FALSE,,4,2,101,3,0,1,1|3|5|6,,0,,4,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,,49,04/01/2019
,58.9,1,3,,,,1,FALSE,FALSE,2,2,77,2,0,1,2,,0,2,5,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,,
,70.6,1,2,,,,,FALSE,,2,2,100,2,0,1,1|2|3|4|5|6,,0,,21,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,,
,78,1,2,,,,2,FALSE,FALSE,2|4,2,90,3,0,1,2|3|5|6,,0,,20,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,,
,89.3,1,2,,,,3,FALSE,FALSE,2|4,1,88,3,0,1,9|2,,0,,14,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,FALSE,57,17/01/2019
,73,1,4,,,,,FALSE,,2|6,2,120,3,0,1,1|2|5|6,,1,,6,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,68,23/01/2019
,62.7,1,2,,,,1,FALSE,FALSE,2,1,68,3,0,1,1|2|4|5|6,,0,,9,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,,
,74.9,1,3,,,,,FALSE,,0,3,71,2,0,1,1|2|5|6,,0,,5,2,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,34,19/12/2018
,72.3,1,4,,,,1,FALSE,FALSE,1|2|6,3,91,3,0,1,8|2|5|6,,0,1,101,11|12,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,63,17/01/2019
,85.5,1,2,,,,1,FALSE,FALSE,2|4,1,110,3,0,1,2|5|6,,0,,17,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,13,FALSE,FALSE,FALSE,81,04/02/2019
,67.8,2,4,,,,1,FALSE,FALSE,2,2,84,3,0,1,8|2|5,,0,2,9,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,6,TRUE,FALSE,FALSE,49,04/01/2019
,62,2,2,,,,,TRUE,,2,2,86,4,0,1,1|2|5|6,,0,,16,3,2,TRUE,4,1,FALSE,FALSE,0,,FALSE,1,8,FALSE,FALSE,,,
,85,1,4,,,,,FALSE,,2|4,2,107,3,0,1,1|2|3|5|6,,0,,97,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,49,04/01/2019
,78,1,2,,,,0,FALSE,FALSE,1,2,92,3,0,1,2|5|6,,0,,41,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,69,23/01/2019
,66.3,1,4,,,,,FALSE,,2,2,90,2,0,1,1|2|5|6,,0,,21,3,1,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,32,17/12/2018
,69.8,2,4,,,,1,FALSE,FALSE,0,2,61,2,0,1,2|5|6,,0,,3,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,67,21/01/2019
,75.5,1,4,,,,1,FALSE,FALSE,1|2,2,80,3,0,1,8|2|4|5|6,,0,2,12,3,2,TRUE,2,2,FALSE,FALSE,17,,FALSE,1,3,FALSE,FALSE,FALSE,54,10/01/2019
,63.3,1,2,,,,,FALSE,,1|2|4,2,89,2,0,1,1|2|5|6,,0,,9,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,56,10/01/2019
,80.7,1,3,,,,1,FALSE,FALSE,2,2,122,2,0,1,2|5|6,,0,1,6,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,FALSE,,
,61.4,2,2,,,,,FALSE,,2,2,92,2,0,1,1|2|3,,0,,29,4,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,,
,75,2,3,,,,1,FALSE,FALSE,2|3|5,,139,2,0,1,1|2|3|4|5,,0,,8,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,53,07/01/2019
,67.3,1,2,,,,4,FALSE,FALSE,2,2,75,3,0,1,2|5|6,,0,,6,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,,
,74.9,1,4,,,,,FALSE,,2,2,81,3,0,1,1|2|4|5|6,,0,,8,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,,
,77.9,1,2,,,,,FALSE,,2|4|5|6,2,116,4,0,1,1|3|4|5|6,,0,,147,3,2,TRUE,4,1,FALSE,FALSE,2,,FALSE,1,3,FALSE,FALSE,,,
,84.8,1,4,,,,,FALSE,,0,2,102,2,0,1,1|2|5|6,,0,,12,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,,,
,73.9,1,2,,,,,FALSE,,2|4,1,74,3,0,1,1|2|3|4|5|6,,0,,8,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,40,24/12/2018
,79.4,1,4,,,,,FALSE,,3,2,129,3,0,1,8|2|4|5|6,,0,,3,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,FALSE,197,30/05/2019
,61,2,4,,,,,FALSE,,2,1,77,2,0,1,1|2|4|5|6,,0,,11,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,,
,86,2,4,,,,1,FALSE,FALSE,0,2,89,3,0,1,9|2,,0,,8,3,3,FALSE,2,1,FALSE,FALSE,17,,FALSE,1,47,FALSE,FALSE,FALSE,,
,53.1,2,4,,,,1,FALSE,FALSE,3,3,52,2,0,1,8|2|5|6,,0,1,25,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,,
,79.2,1,2,,,,0,FALSE,FALSE,2,2,90,3,0,1,2|5|6,,0,,11,3,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,,
,62.4,1,2,,,,1,FALSE,FALSE,2|4,2,85,3,0,1,1|2|3|5|6,,0,,9,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,FALSE,,
,57.4,1,2,,,,,FALSE,,2|5,1,81,2,0,1,1|2|4,,0,,8,3,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,,,
,78.3,2,2,,,,1,FALSE,FALSE,2|3,3,39,3,0,1,2|3,,0,,,1,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,8,FALSE,FALSE,FALSE,80,31/01/2019
,67.5,1,2,,,,1,FALSE,FALSE,0,2,80,2,0,1,8|2|5,,0,,7,3,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,8,FALSE,FALSE,FALSE,,
,80.6,2,2,,,,,FALSE,,1|2|6,1,66,3,0,1,1|2|3|5|6,,0,,17,3,2,TRUE,2,2,FALSE,FALSE,0,,FALSE,1,3,TRUE,FALSE,,81,31/01/2019
,65.8,1,2,,,,3,FALSE,FALSE,1|4|8,1,66,3,0,1,8|2|3|5|6,,0,1,10,11|12,2,FALSE,4,1,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,121,11/03/2019
,82.5,2,4,,,,,FALSE,,1|2,2,83,3,1,1,1|5|6,,0,,8,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,41,21/12/2018
,80.3,1,4,,,,1,FALSE,FALSE,2|3|4,2,80,3,0,1,9|2|3|5|6,,0,1,4,11,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,44,24/12/2018
,80.6,2,2,,,,1,FALSE,FALSE,1|2|6,2,105,3,0,1,2|4|8,,0,,7,7,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,,FALSE,FALSE,,
,85,1,5,,,,1,FALSE,FALSE,1|2,2,177,3,1,1,1|2|3|4|5|6,,0,,9,1,3,FALSE,1,,FALSE,FALSE,0,,FALSE,1,3,TRUE,FALSE,TRUE,,
,62.4,1,2,,,,2,FALSE,FALSE,2|4,2,100,3,0,1,2|3|5|6,,0,3,37,5,2,TRUE,1,0,FALSE,TRUE,1|2,,FALSE,1,17,FALSE,FALSE,FALSE,,
,77.3,1,2,,,,2,FALSE,FALSE,1|2,2,115,3,0,1,2|5|6,,0,2,16,3,2,TRUE,1,0,FALSE,FALSE,3,,FALSE,1,3,FALSE,FALSE,FALSE,,
,82.7,1,4,,,,1,TRUE,FALSE,2,2,83,2,0,1,9|5,,0,,5,3,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,9,FALSE,FALSE,FALSE,,
,67.9,1,2,,,,,FALSE,,2,1,80,3,0,1,1|2|5|6,,0,,2,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,41,19/12/2018
,75.4,2,2,,,,,FALSE,,1|2|4,1,97,3,0,1,2|3|5|6,,0,,28,2,2,FALSE,2,2,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,,39,20/12/2018
,76.9,1,2,,,,1,FALSE,FALSE,4,3,82,3,0,1,8|2|3|5,,0,,5,11|12,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,FALSE,,
,77.7,2,2,,,,,FALSE,,1|6,3,79,3,0,1,1,,0,,12,4,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,17,FALSE,FALSE,,,
,78.3,1,4,,,,0,FALSE,FALSE,2|4,2,113,2,0,1,3|4|6,,0,1,3,7,3,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,FALSE,80,29/01/2019
,64.9,2,2,,,,,FALSE,,1|2,2,120,3,0,1,1|2|3|4,,0,,13,3,1,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,61,08/01/2019
,71.6,1,4,,,,1,FALSE,FALSE,2|3|4|6|8,1,186,3,1,1,8|2|4|5,,0,1,19,3,1,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,,
,76.6,1,1,,,,3,FALSE,FALSE,2|3|4,2,116,3,0,1,9|4,,0,,,7,3,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,99,14/02/2019
,83.3,1,2,,,,1,FALSE,FALSE,4,2,100,3,0,1,9|2|5|6,,0,1,11,3,2,TRUE,2,2,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,55,02/01/2019
,80.8,1,4,,,,1,FALSE,FALSE,1|2|4,1,131,4,1,1,2|4|5|6,,0,,7,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,,
,80.4,2,3,,,,1,FALSE,TRUE,2,2,79,3,0,1,3|4|5|6,,0,,190,5,2,FALSE,2,,FALSE,FALSE,17,,FALSE,1,2,TRUE,FALSE,FALSE,118,06/03/2019
,69.5,2,4,,,,1,FALSE,FALSE,2,2,57,3,0,1,9|2|5|6,,0,1,87,11|12,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,44,20/12/2018
,75.5,1,3,,,,5,FALSE,FALSE,1|4|6,2,160,3,0,1,1|2|3,,0,,17,4,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,52,28/12/2018
,59.8,1,2,,,,5,FALSE,FALSE,1|2,1,54,4,1,1,9|2|4,,0,1,24,3,1,FALSE,1,0,TRUE,FALSE,17,,FALSE,1,17,FALSE,FALSE,FALSE,50,27/12/2018
,64.8,2,4,,,,,FALSE,,1|2|4,2,79,3,0,1,1|2|4|5|6,,0,,14,5,2,TRUE,2,,FALSE,FALSE,0,,FALSE,1,3,,FALSE,,,
,52.9,2,3,,,,,FALSE,,1|6,1,96,3,0,1,1|2,,0,,,3,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,42,18/12/2018
,83.3,2,4,,,,,FALSE,,3,2,50,3,0,1,1|2|3|5|6,,0,,8,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,9,FALSE,FALSE,,37,13/12/2018
,73.8,1,4,,,,0,FALSE,FALSE,2|3,2,64,3,1,1,2|3|4,,0,,56,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,34,10/12/2018
,71.3,1,4,,,,0,FALSE,FALSE,2,2,81,3,0,1,0,,0,,10,3,2,TRUE,2,,FALSE,FALSE,0,,FALSE,1,12,FALSE,FALSE,FALSE,,
,84.3,2,4,,,,,FALSE,,1|2,3,67,3,1,1,1|2|5|6,,0,,6,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,43,20/12/2018
,66.8,1,4,,,,1,FALSE,FALSE,2|4,1,68,3,0,1,2|4|5|6,,0,1,28,5,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,73,18/01/2019
,64.5,2,3,,,,1,FALSE,FALSE,0,1,84,2,0,1,2|5|6,,0,1,13,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,44,20/12/2018
,66.1,1,2,,,,,FALSE,,2,2,82,2,0,1,1|2,,0,,4,3,2,TRUE,4,2,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,,,
,67.3,1,4,,,,,FALSE,,2,2,88,2,0,1,1|2|5|6,,0,,4,1,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,46,20/12/2018
,84,1,4,,,,,FALSE,,2|3,2,96,3,0,1,1|2|5|6,,0,,13,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,TRUE,FALSE,,44,17/12/2018
,75.4,1,3,,,,1,FALSE,FALSE,1|2|4,2,113,3,0,1,1|2|4,,0,,10,4,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,FALSE,,
,90.3,2,1,,,,,FALSE,,2|4,3,95,3,0,1,2|3,,0,,,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,3,,FALSE,,,
,82.6,1,4,,,,1,FALSE,FALSE,2|3,2,90,3,0,1,1|2|3,,0,,23,7,2,FALSE,2,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,12,15/11/2018
,84.2,1,4,,,,1,FALSE,FALSE,2|4,2,77,3,0,1,1|2|5|6,,1,,4,1,2,FALSE,1,0,FALSE,FALSE,0,,TRUE,1,6,FALSE,FALSE,FALSE,,
,76.9,2,5,,,,,FALSE,,2,3,77,3,0,1,1|2|5|6,,0,,9,3,1,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,1,TRUE,FALSE,,66,08/01/2019
,70.4,1,3,,,,1,FALSE,FALSE,0,3,94,2,0,1,8|2,,0,,32,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,,
,77.9,1,4,,,,1,FALSE,FALSE,2|4|6,2,108,3,0,1,8|2|3|4|5|6,,1,,6,11|12,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,TRUE,FALSE,FALSE,28,30/11/2018
,76.3,2,2,,,,1,FALSE,FALSE,2,3,77,3,0,1,2|3|8,,0,,300,3|11,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,,FALSE,FALSE,,
,80.8,1,2,,,,,FALSE,,2,2,89,3,0,1,1|2|4,,0,,8,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,,,
,73.2,1,3,,,,0,FALSE,FALSE,1|2|4,2,63,3,0,1,2|3,,0,,6,3,2,TRUE,2,,FALSE,FALSE,0,,FALSE,1,8,FALSE,FALSE,FALSE,,
,72.2,1,2,,,,,FALSE,,2,2,82,2,0,1,1|2|5|6,,0,,8,3,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,,
,88.7,1,4,,,,,FALSE,,2|4,3,79,3,1,1,1|2|3|5|6,,0,,27,2,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,36,10/12/2018
,76.8,1,3,,,,,FALSE,,3,1,95,2,0,1,1|2|4|5,,0,,8,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,,
,49.5,2,2,,,,,FALSE,,0,1,63,2,0,1,0,,0,,13,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,5,FALSE,FALSE,,40,13/12/2018
,82.4,2,2,,,,1,FALSE,FALSE,2|4,3,68,3,0,1,1|2|4,,0,,12,1,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,4,FALSE,FALSE,FALSE,88,30/01/2019
,84.3,1,2,,,,,FALSE,,2,3,101,2,0,1,1|2|5|6,,0,,3,3,2,TRUE,2,0,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,33,04/12/2018
,67.7,1,4,,,,2,FALSE,FALSE,2,3,87,2,0,1,8|2|3|5,,0,1,48,3,2,FALSE,1,0,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,FALSE,77,18/01/2019
,72.8,1,2,,,,,FALSE,,2,2,92,3,0,1,1|3|4,,0,,5,4,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,6,FALSE,FALSE,,63,03/01/2019
,53.9,1,4,,,,,FALSE,,1|2|4,2,90,2,0,1,1|2|3|4|5|6,,0,,8,3,1,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,33,03/12/2018
,56.3,2,2,,,,1,FALSE,FALSE,2,1,52,3,0,1,2|3|5|6,,0,1,20,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,109,18/02/2019
,71.9,1,2,,,,,FALSE,,1|2,3,78,3,0,1,1|2,,0,,18,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,2,,FALSE,,,
,66.8,2,4,,,,1,FALSE,FALSE,2|3,2,64,3,0,1,9|2|5|6,,0,2,7,7|3,2,TRUE,2,2,FALSE,FALSE,17,,FALSE,1,9,FALSE,FALSE,FALSE,43,20/12/2018
,76.8,2,2,,,,,FALSE,,2|4,2,112,4,0,1,1|3|5|6,,0,,15,3,2,TRUE,2,1,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,,90,29/01/2019
,63.8,1,2,,,,,FALSE,,2|4,2,70,2,0,1,1|2|5|6,,0,,21,4,3,TRUE,1,,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,47,17/12/2018
,61.8,1,4,,,,3,FALSE,FALSE,0,1,64,3,0,1,2|5|6,,0,,8,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,10,FALSE,FALSE,FALSE,,
,55.7,1,3,,,,,FALSE,,1,1,55,2,0,1,1|2|4,,0,,14,3,2,FALSE,2,,FALSE,FALSE,0,,FALSE,1,3,FALSE,FALSE,,,
,65.2,1,3,,,,1,FALSE,FALSE,1|2,2,71,2,0,1,8|5|6,,0,1,15,3,2,TRUE,1,,FALSE,FALSE,0,,FALSE,1,1,FALSE,FALSE,FALSE,51,20/12/2018
,73.3,1,3,,,,,FALSE,,1|2|4,2,86,3,0,1,1|2|3|4|5,,0,,8,3,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,36,06/12/2018
,72.3,1,2,,,,,FALSE,,1|2|4,2,105,3,0,1,1|2|3|5|6,,0,,4,1,2,FALSE,2,1,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,,34,04/12/2018
,71.5,2,3,,,,2,FALSE,FALSE,2|3,2,75,2,0,1,1|2|3|4|5,,0,,33,5,2,TRUE,1,0,FALSE,FALSE,0,,FALSE,1,2,FALSE,FALSE,FALSE,99,06/02/2019
